Entry	Entry name	Protein names	Status	Gene names  (primary )
Q99497	PARK7_HUMAN	Protein DJ-1 (DJ-1) (Oncogene DJ1) (Parkinson disease protein 7) (Parkinsonism-associated deglycase) (Protein deglycase DJ-1) (EC 3.1.2.-) (EC 3.5.1.124)	reviewed	PARK7
Q99LX0	PARK7_MOUSE	Protein DJ-1 (DJ-1) (Parkinson disease protein 7 homolog) (Protein deglycase DJ-1) (EC 3.1.2.-) (EC 3.5.1.124)	reviewed	Park7
Q5E946	PARK7_BOVIN	Protein DJ-1 (DJ-1) (Parkinson disease protein 7 homolog) (Protein deglycase DJ-1) (EC 3.1.2.-) (EC 3.5.1.124)	reviewed	PARK7
O88767	PARK7_RAT	Protein DJ-1 (DJ-1) (Contraception-associated protein 1) (Protein CAP1) (Fertility protein SP22) (Parkinson disease protein 7 homolog) (Protein deglycase DJ-1) (EC 3.1.2.-) (EC 3.5.1.124)	reviewed	Park7
Q5BKC3	Q5BKC3_RAT	Park7 protein (Protein DJ-1)	unreviewed	Park7
D5M8S2	D5M8S2_CHICK	DJ-1 (Protein DJ-1)	unreviewed	DJ-1
E2QS13	E2QS13_CANLF	Parkinsonism associated deglycase	unreviewed	PARK7
H2R9I9	H2R9I9_PANTR	Parkinson disease (Autosomal recessive, early onset) 7 (Parkinsonism associated deglycase)	unreviewed	PARK7
D2HA21	D2HA21_AILME	Parkinsonism associated deglycase (Fragment)	unreviewed	PARK7
G1TBS1	G1TBS1_RABIT	Parkinsonism associated deglycase	unreviewed	PARK7
H2N989	H2N989_PONAB	Parkinsonism associated deglycase	unreviewed	PARK7
H0V8R3	H0V8R3_CAVPO	Parkinsonism associated deglycase	unreviewed	PARK7
G1NWS7	G1NWS7_MYOLU	Parkinsonism associated deglycase	unreviewed	PARK7
F1RII4	F1RII4_PIG	Parkinsonism associated deglycase	unreviewed	PARK7
I3NDG8	I3NDG8_ICTTR	Parkinsonism associated deglycase	unreviewed	PARK7
K7G4K8	K7G4K8_PELSI	Parkinsonism associated deglycase	unreviewed	PARK7
H0WUA2	H0WUA2_OTOGA	Parkinsonism associated deglycase	unreviewed	PARK7
M3Y5C7	M3Y5C7_MUSPF	Parkinsonism associated deglycase	unreviewed	PARK7
A0A0D9S8R1	A0A0D9S8R1_CHLSB	Parkinsonism associated deglycase	unreviewed	PARK7
R0KXC4	R0KXC4_ANAPL	Parkinsonism associated deglycase (Protein DJ-1) (Fragment)	unreviewed	PARK7
W5PK66	W5PK66_SHEEP	Parkinsonism associated deglycase	unreviewed	PARK7
M3WYR7	M3WYR7_FELCA	Parkinsonism associated deglycase	unreviewed	PARK7
G3WTU7	G3WTU7_SARHA	Parkinsonism associated deglycase	unreviewed	PARK7
F6WPB4	F6WPB4_HORSE	Parkinsonism associated deglycase	unreviewed	PARK7
F6Z9S6	F6Z9S6_ORNAN	Parkinsonism associated deglycase	unreviewed	PARK7
F7A9B9	F7A9B9_MONDO	Parkinsonism associated deglycase	unreviewed	PARK7
Q8UW59	PARK7_CHICK	Protein DJ-1 (DJ-1) (Parkinson disease protein 7 homolog) (Protein deglycase DJ-1) (EC 3.1.2.-) (EC 3.5.1.124)	reviewed	PARK7
Q95LI9	PARK7_CHLAE	Protein DJ-1 (DJ-1) (Parkinson disease protein 7 homolog) (Protein deglycase DJ-1) (EC 3.1.2.-) (EC 3.5.1.124)	reviewed	PARK7
Q5XJ36	PARK7_DANRE	Protein DJ-1zDJ-1 (DJ-1) (Parkinson disease protein 7 homolog) (Protein deglycase DJ-1zDJ-1) (zDJ-1) (EC 3.1.2.-) (EC 3.5.1.124)	reviewed	park7
Q7TQ35	PARK7_MESAU	Protein DJ-1 (DJ-1) (Contraception-associated protein 1) (Parkinson disease protein 7 homolog) (Protein deglycase DJ-1) (EC 3.1.2.-) (EC 3.5.1.124) [Cleaved into: Protein DJ-1, N-terminally processed]	reviewed	PARK7
A0A1C7MYU7	A0A1C7MYU7_9FUNG	Protein deglycase DJ-1zDJ-1	unreviewed	park7
